Module                  Size  Used by
uas                    28672  0
usb_storage            90112  2 uas
rfcomm                 98304  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
xt_conntrack           12288  1
vboxnetadp             28672  0
vboxnetflt             32768  0
nft_chain_nat          12288  3
xt_MASQUERADE          16384  1
nf_nat                 65536  2 nft_chain_nat,xt_MASQUERADE
nf_conntrack          200704  3 xt_conntrack,nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
vboxdrv               733184  2 vboxnetadp,vboxnetflt
xfrm_user              61440  1
xfrm_algo              20480  1 xfrm_user
xt_addrtype            12288  2
nft_compat             20480  4
ccm                    20480  3
snd_hda_codec_hdmi     94208  1
qrtr                   53248  4
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         16384  1
nf_tables             376832  57 nft_compat,nft_chain_nat
af_alg                 32768  6 algif_hash,algif_skcipher
snd_hda_codec_realtek   200704  1
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
libcrc32c              12288  3 nf_conntrack,nf_nat,nf_tables
bnep                   32768  2
intel_rapl_msr         20480  0
intel_rapl_common      40960  1 intel_rapl_msr
intel_uncore_frequency    16384  0
intel_uncore_frequency_common    16384  1 intel_uncore_frequency
intel_tcc_cooling      12288  0
x86_pkg_temp_thermal    20480  0
intel_powerclamp       24576  0
snd_soc_avs           184320  0
coretemp               24576  0
snd_soc_hda_codec      24576  1 snd_soc_avs
snd_hda_ext_core       36864  2 snd_soc_avs,snd_soc_hda_codec
kvm_intel             487424  0
snd_soc_core          454656  2 snd_soc_avs,snd_soc_hda_codec
snd_compress           28672  2 snd_soc_avs,snd_soc_core
binfmt_misc            24576  1
ac97_bus               12288  1 snd_soc_core
snd_pcm_dmaengine      16384  1 snd_soc_core
kvm                  1437696  1 kvm_intel
snd_hda_intel          61440  1
snd_intel_dspcfg       36864  2 snd_soc_avs,snd_hda_intel
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
irqbypass              12288  1 kvm
nls_iso8859_1          12288  2
snd_hda_codec         217088  6 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_codec_realtek
iwlmvm                864256  0
crct10dif_pclmul       12288  1
polyval_clmulni        12288  0
uvcvideo              139264  0
polyval_generic        12288  1 polyval_clmulni
snd_hda_core          151552  8 snd_hda_codec_generic,snd_soc_avs,snd_hda_codec_hdmi,snd_soc_hda_codec,snd_hda_intel,snd_hda_ext_core,snd_hda_codec,snd_hda_codec_realtek
ghash_clmulni_intel    16384  0
videobuf2_vmalloc      20480  1 uvcvideo
sha256_ssse3           32768  0
snd_hwdep              20480  1 snd_hda_codec
sha1_ssse3             32768  0
uvc                    12288  1 uvcvideo
